document_id,doc_type,doc_number,source_hash,extracted_address,extracted_total
1f127f14-f69f-4019-b1be-ad2f0485c135,po,1059,7687ea05a7bb6244d3a44043781307a292e3e29c1f34a1addaf1455d3ed27f3e,"1216 Granite St NE",1957.35
21be0aed-2432-4ef6-9a63-5fdf6bfa0508,po,1113,097f1f947623bff76424956db00b5eeb9430bec923356011a3601458cab88961,"1220 Granite St NE",675.97
0d439d73-afe5-4ff6-b488-701df358bfc8,po,1429,09c2bb94332355e818ba63b551c4c8499e73a515d19fad2a715ed2bb6bfeba05,"1613 Garland Ave",838.13
8627c06a-a475-4867-b92e-cd482016afcd,po,1852,a2ce6c7fbfa09b4b312da40922becaa21a7d38b5ccecf3fd087f392d0b33f1e9,"1154 Murphy Street",1063.75
1ce2bf40-2310-48fa-8cdf-db4017aae497,po,1864,19778e7005ca050f8466c560f4802a915c648d8de846edf2179a909b2004ca0f,"1619 Garland Ave",778.21
76b25da8-dd42-4711-9a56-e8230d27007e,po,1915,3f6fc33e4f1384bbc389f3c20b471a18b55544a22d588bfafc8a59fe537ce254,"1621 Garland Ave",2119.64
cc3667a8-6d64-4c52-9e89-4db5cdf5b873,po,1916,ad402b68ae0ccb2264287614daff5f6368b062b330ae39548f328ee6d9ebf9c8,"1621 Garland Ave",584.97
e0d84a95-f072-4310-bd05-1c51cec0938b,po,1919,e9a40355a8c69e0de6bc9dc9b452ad3fa43560686da3eea5f9ac5b9466188b49,"1621 Garland Ave",778.21
53979039-fd04-4770-9020-0d44c6cf1074,po,2770,e6742b5f0a8699c5b7fe2d7bc0db968244e042a017c15db4561d11c6ce0f09c5,"1516 Foxtail Dr SE",675.97
0b62c44c-d103-4d31-a83d-bc317528126d,po,2771,8ed456b64f1463a3d099efb5df93960bdca6bd41232090bd4e31600c538559e0,"1516 Foxtail Dr SE",1005.37
43370f71-a0dc-4fb3-b9e7-87f282b5e119,po,3809,3c3ec9728d51e670e0478ed3590dbef09b6d9b83e8a4ebde9a88ca4a96ed582b,"928 Sawgrass Dr.",698.34
50bcff98-43fe-44dc-9238-a482f32bbddd,po,5619,7930ed3d12507c6b2d9564eccb266743dfbd5743bc92e2cdfcd50630fc0b7d54,"9448 Emilia Ln",1156.90
33424808-e249-4538-9a52-410b14713539,po,5620,024940631287e895e7a2991eb31a7e4f92ebc0b4a315bfda6e4f506a4fd0c209,"9448 Emilia Ln",2450.27
002c0f9e-ad67-4510-8787-f6d549bb6daf,po,5621,6084134da24db13d792ca8e5acea097978748fb1a8473fe2a7fc6f36cf247cc1,"9448 Emilia Ln",2201.04
0fbc53f8-d3d8-44b9-80bb-b4805a23fc28,po,5622,f6a597054a95762818f5d631a197698e7416288f1d23b25637ceb30a29d5e01d,"9448 Emilia Ln",606.64
00852eeb-b04c-4ec5-8334-49689a42ac6f,wo,312,d029edd0d7361c86dd56a7d2e1c7fc0cbf8d36d58aab02894b0e406e91c959c6,"1224 Granite St NE",8084.03
39db496a-a7c1-44ae-bfec-d9bb2e58c192,wo,313,524c98aa8f41e5180536a3f0bf56302978504878d720d48c4bd8fc87c9e5a0ab,"1224 Granite St NE",3168.54
27af8bbb-40c4-4102-9e2c-52279b6a3a1d,wo,334,65aa00236ceb826a917cd8cf3dda76da17268caf95184d95e1a75e80ad5b04c7,"1228 Granite St NE",8084.04
9b37db27-fee7-4807-9366-07ece10fc7c8,wo,335,3bb64dc1bd308068bf5007eac13a430dd930ab600b9f2045368a8f993d68aeb8,"1228 Granite St NE",3168.55
85dd3f0a-9ddc-49cd-952f-76f63787b3ab,wo,353,412f87b90f193957b1a1d2aa1af3b433941ee850de9c08fb893dd4868aa0f35a,"1216 Granite St NE",4382.53
a09a9764-1ab9-48c7-bd98-ecc4a6bc3f82,wo,354,da1d1d2f270f83875afc23ed94a0d077bee7902b878f5816098e14983cb14352,"1216 Granite St NE",88.49
4eaa5e67-0f59-4570-a8d6-e27e8eb28bcf,wo,355,f5cac5bfed35ed39c64b3ea0c938a9cb14cd5fd55042a2712b20489945b32819,"1216 Granite St NE",313.88
699026c8-86f9-4268-9ff5-ff93a2123d9d,wo,356,99cac84b4bd313a2e580003c90b898a0d019d10cd05344bc3109076a1eb2f235,"1216 Granite St NE",8084.03
525a1938-d393-4bc6-bd9c-a65c56ad6b34,wo,357,5ef2c0674401cdca1903266e54bd243aa02245be69994529afe7b480f896fbc0,"1216 Granite St NE",3168.54
fe2f55fc-fadf-4ab9-ad19-1cb2d4ff34a1,wo,374,a59519552e3093d162f2668756cf9ef1515bdd0a1a997f3ee06981b521d31a7d,"1220 Granite St NE",4192.67
37e67d82-aa89-420a-8884-b53a8bc809f5,wo,375,faf1d15bf6e342559660be2df4730431bdf0a6498ade19a5d956820bdbf700ed,"1220 Granite St NE",4382.54
a18523db-9236-4531-bcb9-dab23188ce41,wo,376,ade7f055d47443f344b4b76fe9924c54e19eefeb676d6446571a923778db85bf,"1220 Granite St NE",88.50
c4a23003-41c1-4c2b-9881-932c63397a26,wo,377,c7049ae2c917ec3f95f8a266b3adb8b37bee65170adc7c44eb4b472d86ef5b34,"1220 Granite St NE",313.90
945b577f-1e6f-4afd-a8db-0fcd8856435d,wo,378,2e1514395c11900ee1ed05c6f7d9c96efe93dd8bd6e1d78fa0939e4b07f6782a,"1220 Granite St NE",8084.04
4c7a0928-52ad-4c13-983b-9c46b39f60de,wo,508,c17bb10c47ad110df42cbcc888302ecaf86cefff06bc97cc4fb771135781dcb6,"1613 Garland Ave",1437.41
26b823e0-55f6-4c08-b9a1-fa12f8f762f9,wo,509,659a19dbc23856e5f90cf72a9ea88217cdc04c94b861310e7e8d8256bc2553b5,"1613 Garland Ave",272.41
61ef79b2-854d-480a-a9c2-7154515ab3f4,wo,529,ce7dd49d8963fa7f6052ea1f7ad9c2f6e2d605a1970f4a36bff9df4a48043aa1,"1615 Garland Ave",1437.42
78329e73-4428-458a-a3de-2798414f7ae7,wo,530,fd8137d37dcbf9f1cc9ea7828377b8f602ba6124130052073125fb954ecd5848,"1615 Garland Ave",272.42
b2d6dda6-c431-40bd-8277-f92d664d6dd9,wo,655,6f4a40cac4f638b52fc676f89b92a4d445bcca069c5b41dfcb061cc2a2552590,"1618 Garland Ave",2379.84
d9b149ec-e5eb-4e59-a16a-dcb2eb59155c,wo,656,e7daffb588754bdc10eb94820203aa0ef75baf739e757182d75117e04fc1243c,"1618 Garland Ave",6447.54
5a77e772-d7d6-4572-b2ef-3e650da75bdf,wo,662,8cf276f6b6c4d56bdda334b8b2ff801bc5e3a904cce49aea46059d5b376d54f1,"1618 Garland Ave",8147.54
8d5ee324-83ac-4ed6-a621-d77ea82929dd,wo,663,83c00953509623ff04a2806add6c09ba9ec327c860a6c0bbae2e8c8f8b9459c7,"1618 Garland Ave",2526.59
faf60d55-3fc7-4e38-9ad1-1f8141e69f92,wo,677,59637fd31cd80a51c28ae8a00a61215099c54eef67030a843737040f46358bdb,"1620 Garland Ave",2379.85
5f3c55cc-17b6-4bd0-b2a2-29732931eb68,wo,678,404afcf20bb9a14310e11d6d23a1b01c6063a40f24e893ef54c78539e45766af,"1620 Garland Ave",6447.54
16ada007-d02e-4239-829f-dcc72692b6ff,wo,679,40637f656ae903003b5b3e89bca28031073811285254604877b8dbb80880adae,"1620 Garland Ave",1593.55
977982ba-a4dd-40c6-8679-74258457c241,wo,681,c535f27e13f12dabc8e7e3ca9725d639a554a83f91fbe7063d929ea8b3c6c40d,"1620 Garland Ave",4279.90
2035e60d-bca4-439b-a2ff-2ccaef02b059,wo,684,0bd80cda786252082a92e86d91edffb553ebaf0433a55b049625d536d6b059a9,"1620 Garland Ave",8147.54
fd889fb6-9b1b-4e26-a717-bdefd48a0099,wo,685,d1848d415ad79b3f54fbeaebc899e603fcf6fb50ffa663509af59d0da8237c2d,"1620 Garland Ave",2526.60
ec94618a-f2c8-4036-8b36-48477fbbd114,wo,768,a20c5d65292135d0a9ebbced0477a4a81bdc0482bc91c59b279300e8b83a1343,"207 SW 16th Street",1321.64
9ef90e67-013f-43b9-aa0c-35c182f5088b,wo,843,100a923069e61f83aaba0a7041eb901456183ec24778316cfd831e1fd2ea659c,"466 SW 12th St",6641.69
6d5082ce-21ca-4047-b931-afdf629891c3,wo,844,0b0da0aeb5a66ec1cab64f82ea285001144dade7b2e05c0d98ab3587e0c2ac1d,"466 SW 12th St",2118.92
d29c5286-95fc-4356-aa9b-5228ac976f88,wo,896,c3b96232d2eaf99d5bb6cc78db320f8fe97eda7bf614d78661b38154e772f265,"464 SW 12th St",5129.03
5d09fd33-6eae-451b-9958-f99b5c7cc6dd,wo,897,a4c73800488140233e9300f70554fcaad74b0c99a422aa3dae4a9bad9cf981fd,"464 SW 12th St",2118.92
ca9bd5ee-354b-453a-a58c-bb0768a1dbb1,wo,1002,976813d646d5eaaa39da7d7f71065310cc3654dab8c800e76e110aa3b452148c,"460 SW 12th St",5129.03
a7bbd79b-19db-4917-af11-38af088c23c3,wo,1003,20ee808ec128f247d2388a9ab9768103f36dc97044cada5abd02ef2ed97ac457,"460 SW 12th St",2118.92
5e2bc526-c7c6-442a-9d41-c5e057e7047b,wo,1080,10e7a01fb23f1e6cad44fb2a0b5b4fba583497f3bd49f983a3243a893eeb16d7,"1497 Foxtail Dr SE",1933.63
4da60c72-69cd-48a5-8533-b2b5c5be52cf,wo,1081,2f6bc0aed719c8220944c80526c655feb199c03a85eaaf065a9ebbbf43ac5c75,"1497 Foxtail Dr SE",5958.11
9e652d38-fc52-4f34-8b14-689826bb8072,wo,1082,cb9e6fb8d5606432233e0dcd8dffc948686c4cf85c1c001f645ae042479acb11,"1497 Foxtail Dr SE",1182.92
3864d5ed-eef7-4050-ae19-908735925e85,wo,1084,d092fab40836299f198551d64e728323aac3fa3cade0f83518a7f304f1c13c56,"1497 Foxtail Dr SE",3927.86
4c5adabf-f936-4dfc-abd7-03994bbac756,wo,1102,b59ae7661d090cc1bc2cea384959ad45d4182659a5fa9914ac8160b142467218,"1501 Foxtail Dr SE",1933.64
7067fbee-0706-49e3-978c-09f5c5be7b3c,wo,1103,2b7c414e826aeca97e71f7b82339f2625f07ca90fbe931e2bad2283c773cfe30,"1501 Foxtail Dr SE",5958.12
3ec93aa4-80a6-41b6-8e01-a609ce118ffb,wo,1104,4703ab31aa6fffa721783d831a3a438da41ef6650a01b6d793a367f1788bebc4,"1501 Foxtail Dr SE",1182.92
0ce02ffe-bc03-49c8-b128-dd3706bb791d,wo,1105,f93e31262f7cbe0c4b11229f4f2863c0168353291009fa1e72f94962289586cb,"1501 Foxtail Dr SE",4104.13
3b044ef0-887c-417a-82e4-5378a6161ccc,wo,1109,0895e83761261f88704a7d57b6f50ed18f133ce61bcf5f426e2c300693c105f3,"1501 Foxtail Dr SE",8238.63
690723e8-84fc-43d3-b114-8d710c22360c,wo,1124,27c360466d49b776eed5662bb22a3978693ce6c40a452c460cb68ba861a90a35,"1479 Foxtail Dr SE",1931.08
ea411580-9393-47c6-b299-f340ae7a7012,wo,1125,c508742e105a4463076a2e1fd3931f88329f407c1759c6267e3bdec4bce95172,"1479 Foxtail Dr SE",5955.47
f8d4c927-eea3-465f-a25c-9a88b356581c,wo,1126,78e56e8768a32b84b296a21f9e77fc762149c7a127a6c1c2f5e64e9b91e6f678,"1479 Foxtail Dr SE",1297.97
070b6385-9ae7-4342-b846-2fa29afa804d,wo,1127,e9f4cc6ffaa0d935d96ab8c2e0484fc4c67d743d7cf519e414db37de79477b2d,"1479 Foxtail Dr SE",4132.12
afcbc580-a965-49eb-8750-e7bb1dce92ac,wo,1128,9bc30883332cdeb9fa3376b7759e21f3b42fa20171ac7689a929b2e7ff2d1cc1,"1479 Foxtail Dr SE",3927.86
ff12e3a4-803d-4ba3-9527-53163a1cfc3c,wo,1131,324156fcfdb9bdcc02c7f8913ee8a0decd296391f42035c0bfa12dae0e4ae4d2,"1479 Foxtail Dr SE",8966.60
5312c09b-5bc3-47c6-8a27-e5773d83bf57,wo,1132,f9c99e0ca3f344e2bd5718195b43642fd37a9ff596ac76d7d9aaa90f8d20bd93,"1479 Foxtail Dr SE",2139.85
6057ba13-5253-450b-a5df-b194c7639ae0,wo,1146,601b2047e0307285915e3c91d24f5761dd06560960b03f0466ec51dba1217e46,"1485 Foxtail Dr SE",1931.09
c471c623-994b-47de-816a-2b74953a887a,wo,1147,66c38a377df08f256a3b11fe77245013f064fa9570fb1747f626817ef9039985,"1485 Foxtail Dr SE",5955.47
f896ff52-de63-4aec-8115-ac899520f409,wo,1148,5fcf0c4cb3b96b4de961cce7da44d777a7dd1fe9b93866fbbe124e5df77832b2,"1485 Foxtail Dr SE",1297.97
b391e214-6e5c-4c3e-8d98-fa068379a6b1,wo,1149,36ed37ce45beb7800e4d0fdf6b1e7cc455c9af19252d1b2d6509639c8b85099e,"1485 Foxtail Dr SE",4132.12
86d24350-50f9-4990-bbaa-52335236589e,wo,1150,746243a92fdc6f98a1d608d5f975e5286740d28a4812ab28498cfa55f9260116,"1485 Foxtail Dr SE",3927.87
843d7795-053d-4c61-a8a8-e731e8233db1,wo,1153,3086da7a917e5bc4690512fa6af2cfa25886152618ed7e33aefb58aa8a93a13d,"1485 Foxtail Dr SE",8966.60
b9b6bfbd-02b0-439e-9af5-7ccedc62c40d,wo,1154,5bf9877371e89b448cd9d2a6e15c223dc29959c04f0d2bfecaa032216e7c7eb4,"1485 Foxtail Dr SE",2139.86
dd9777e0-31c4-4032-be53-19b10cee6e10,wo,1234,2f529fcca85d8f4c46efc38f33e4910774c1f0f9fba573615a1b4c7fc3e91527,"1522 Foxtail Dr SE",2650.09
daf3d30a-090e-4dfe-930c-740d8a520b46,wo,1236,9f913f81eb804277b4d1082c7691aa3247a99cdf8a56724a2dd0fb655791e482,"1522 Foxtail Dr SE",1357.78
d6d21548-4654-4cee-957e-adfdaa194503,wo,1237,235419a7a5ca2dc67602f6d807debfa9477f092298fc8f622f27c9d2dabdddfd,"1522 Foxtail Dr SE",4175.69
50ded54c-6924-4b85-abc6-7d9992b0410d,wo,1384,f4381b1ca6a2ebe7753d5619f6d7adf57ce20b9b4b0d3faddcd4444e51b89311,"6522 NE 11th Ct",8783.87
bfbb574e-25cb-4b32-bbd6-02a673f68ea8,wo,1385,7158624142cf4d809f424cd05bbcda3590850cb22d9e265be945cae3f06e5dbc,"6522 NE 11th Ct",2442.33
0b05f185-0bcb-4cd6-b35f-0b5a70ff3ec9,wo,1402,e6865843b212098a4ca9508dc346b5f6c0471bd49fa44dbd5a2fa5f3d26dc42e,"6530 NE 11th Ct",4809.07
651a5347-b65a-4346-a2c2-e057e808ea69,wo,1406,34e4a31ec446b9da9be3421db8c2b4b3d27713bd18a8597d300f4bf685d088e8,"6530 NE 11th Ct",8783.87
3048dc1e-d20d-4ed6-87e6-d5df92d53154,wo,1407,c01da01e5d19552be8052e251a2b5036c9b420245b5dd63e63551059c4bbd701,"6530 NE 11th Ct",2442.33
2e029755-ca6d-46c8-b6b5-da9f028709c2,wo,1421,301881a1a96f3521a9410970d4441a62709a241aa8926d0e8da7257e1aeb8680,"6504 NE 11th Ct",3012.18
3034c294-7b56-437d-9d50-ec8300378114,wo,1544,846d5f0296c3e876b4429d0dac7a2ed9c89885de4d278052dd2e85cf30d1c77f,"2126 Legacy Dr.",4770.24
29bfcab7-caf5-4919-bc1d-056e9fd49728,wo,1545,38dc78382342f9b2e93c20474ab68ad2c89f0914d06227544c2a95d80d6fd4d2,"2126 Legacy Dr.",2617.13
b92a4c9b-4513-4e5b-8e14-726217c43872,wo,1546,5cfe12de65f02cbfadbcbb82b1d1af44b5bf0709d1642393ebfb8471abcd5a5c,"2126 Legacy Dr.",77.59
7dfa9860-5d56-4cd7-8ae3-8ad5cdddae35,wo,1999,12a9eec54697749ea27b47a9cb6f7d6bd5aa8f42dd3012430d65b40231b12825,"9717 Regatta Lane",3013.42
