finish_code,function,sku
AccentBlack,dummy,schacc622duml
AccentBlack,keyed,schacc622key
AccentBlack,passage,schacc622pass
AccentBlack,privacy,schacc622priv
AccentBlack,deadbolt,schsngldb622
AccentBlack,handleset,schcent622hndl
AccentBlack,stop_hinged,doorstophdblack
AccentBlack,stop_spring,doorstopspblack
AccentBlack,finger_pull,fingerpullmatblk
AccentBlack,bifold_knob,bfknobmatteblack
AccentBlack,pocket_lock,pktdoorpassblack
AccentBlack,inside_trim,schacc622triml
AccentBN,dummy,schacc619dumr
AccentBN,keyed,schacc619key
AccentBN,passage,schacc619pass
AccentBN,privacy,schacc619priv
AccentBN,deadbolt,dexsngldb619
AccentBN,handleset,schply619hndl
AccentBN,stop_hinged,doorstophgsn
AccentBN,stop_spring,doorstopspsn
AccentBN,finger_pull,fingerpullsn
AccentBN,bifold_knob,bfknobsn
AccentBN,pocket_lock,pocketdrprvus10b
AccentBN,inside_trim,schacc619trimr
LattitudeBN,dummy,schlat619dum
LattitudeBN,keyed,schlat619key
LattitudeBN,passage,schlat619pass
LattitudeBN,privacy,schlat619priv
LattitudeBN,deadbolt,schsngldb619
LattitudeBN,handleset,schply619hndl
LattitudeBN,stop_hinged,doorstophgsn
LattitudeBN,stop_spring,doorstopspsn
LattitudeBN,finger_pull,fingerpullsn
LattitudeBN,bifold_knob,bfknobsn
LattitudeBN,pocket_lock,pocketdrprvus10b
LattitudeBN,inside_trim,schlat619trim
LattitudeBlack,dummy,schlat622dum
LattitudeBlack,keyed,schlat622key
LattitudeBlack,passage,schlat622pass
LattitudeBlack,privacy,schlat622priv
LattitudeBlack,deadbolt,schsngldb622
LattitudeBlack,handleset,schcent622hndl
LattitudeBlack,stop_hinged,doorstophdblack
LattitudeBlack,stop_spring,doorstopspblack
LattitudeBlack,finger_pull,fingerpullmatblk
LattitudeBlack,bifold_knob,bfknobmatteblack
LattitudeBlack,pocket_lock,pktdoorpassblack
LattitudeBlack,inside_trim,schlat622trim
PlymouthBN,dummy,schply619dum
PlymouthBN,keyed,schply619key
PlymouthBN,passage,schply619pass
PlymouthBN,privacy,schply619priv
PlymouthBN,deadbolt,dexsngldb619
PlymouthBN,handleset,schply619hndl
PlymouthBN,stop_hinged,doorstophgsn
PlymouthBN,stop_spring,doorstopspsn
PlymouthBN,finger_pull,fingerpullsn
PlymouthBN,bifold_knob,bfknobsn
PlymouthBN,pocket_lock,pocketdrprvus10b
PlymouthBN,inside_trim,schacc619trimr
CoronaBN,dummy,dexcor619dum
CoronaBN,keyed,dexcor619key
CoronaBN,passage,dexcor619pass
CoronaBN,privacy,dexcor619priv
CoronaBN,deadbolt,dexsngldb619
CoronaBN,handleset,dexcor619key
CoronaBN,stop_hinged,doorstophgsn
CoronaBN,stop_spring,doorstopspsn
CoronaBN,finger_pull,fingerpullsn
CoronaBN,bifold_knob,bfknobsn
CoronaBN,pocket_lock,pocketdrprvus10b
CoronaBN,inside_trim,
SevilleBN,dummy,dexsev619dumr
SevilleBN,keyed,dexsev619key
SevilleBN,passage,dexsev619pass
SevilleBN,privacy,dexsev619priv
SevilleBN,deadbolt,dexsngldb620
SevilleBN,handleset,dexsev619key
SevilleBN,stop_hinged,doorstophgsn
SevilleBN,stop_spring,doorstopspsn
SevilleBN,finger_pull,fingerpullsn
SevilleBN,bifold_knob,bfknobsn
SevilleBN,pocket_lock,pocketdrprvus10b
SevilleBN,inside_trim,
SevilleORB,dummy,dexsev716dumr
SevilleORB,keyed,dexsev716key
SevilleORB,passage,dexsev716pass
SevilleORB,privacy,dexsev716priv
SevilleORB,deadbolt,dexsngldb716
SevilleORB,handleset,schcent622hndl
SevilleORB,stop_hinged,doorstophgorb
SevilleORB,stop_spring,doorstopsporb
SevilleORB,finger_pull,fingerpullorb
SevilleORB,bifold_knob,bfknoborb
SevilleORB,pocket_lock,pocketdrprv619
SevilleORB,inside_trim,
SolsticeBN,dummy,dexsol619dum
SolsticeBN,keyed,dexsol619key
SolsticeBN,passage,dexsol619pass
SolsticeBN,privacy,dexsol619priv
SolsticeBN,deadbolt,dexsngldb619
SolsticeBN,handleset,dexsol619key
SolsticeBN,stop_hinged,doorstophgsn
SolsticeBN,stop_spring,doorstopspsn
SolsticeBN,finger_pull,fingerpullsn
SolsticeBN,bifold_knob,bfknobsn
SolsticeBN,pocket_lock,pocketdrprvus10b
SolsticeBN,inside_trim,
StratusBN,dummy,dexstrat619dum
StratusBN,keyed,dexstrat619key
StratusBN,passage,dexstrat619pass
StratusBN,privacy,dexstrat619priv
StratusBN,deadbolt,dexsngldb619
StratusBN,handleset,dexstrat619key
StratusBN,stop_hinged,doorstophgsn
StratusBN,stop_spring,doorstopspsn
StratusBN,finger_pull,fingerpullsn
StratusBN,bifold_knob,bfknobsn
StratusBN,pocket_lock,pocketdrprvus10b
StratusBN,inside_trim,
StratusORB,dummy,dexstrat716dum
StratusORB,keyed,dexstrat716key
StratusORB,passage,dexstrat716pass
StratusORB,privacy,dexstrat716priv
StratusORB,deadbolt,dexsngldb716
StratusORB,handleset,schcent622hndl
StratusORB,stop_hinged,doorstophgorb
StratusORB,stop_spring,doorstopsporb
StratusORB,finger_pull,fingerpullorb
StratusORB,bifold_knob,bfknoborb
StratusORB,pocket_lock,pocketdrprv619
StratusORB,inside_trim,
